speed,ray_front,ray_right,ray_left,ray_rightfront,ray_leftfront,throttle,brakes,steering,Q
0,0,0,0,0,0,0,0,0,0
323,1360.960747,31.82949229,19.07593987,39.12849584,24.46142786,10,1,4,5.591293945
323,1356.284528,32.82902837,19.17259412,42.46880445,24.02423624,4,5,8,12.67996512
323,1342.116252,32.9375868,18.30748933,41.821968,22.63101731,1,0,-4,19.44957859
323,1297.978786,33.74755543,18.29090391,42.66556146,22.62842662,6,0,-5,20.70653757
322,1063.40999,34.62300695,17.25314306,42.96996928,22.29921092,5,9,-2,20.86348966
310,704.8837828,35.08299508,16.20682601,45.253563,20.91578319,4,8,-4,20.76793458
298,472.9022943,35.7669884,15.32302709,45.37467844,19.13094763,6,0,4,21.73696661
295,297.9915706,37.4090603,13.81892083,47.77041831,17.04302344,6,0,-10,20.36950555
295,258.8728816,38.99268909,12.2564005,50.15897936,15.87738717,10,5,1,20.06499557
290,200.0576251,40.42564697,10.22926989,51.83756672,13.43619719,4,2,-9,19.94464844
287,152.6907117,42.55776115,8.315279246,56.3282822,10.46391023,5,10,-1,21.08536647
274,98.95618482,45.06999331,800,57.48211424,8.032365558,3,9,-5,19.87313316
262,69.01413784,47.1691971,800,61.1839352,5.024724106,4,10,-2,19.45336059
250,800,49.53823104,800,64.19524133,800,5,5,6,19.14935088
243,800,51.55135168,800,67.19387907,800,8,6,-1,23.8287166
236,800,2.688632927,800,3.858977959,800,6,2,5,29.20443962
233,800,4.209733828,800,7.912778062,800,5,3,2,29.07569027
228,800,5.562377736,800,8.584838117,800,8,10,2,28.98676012
221,800,6.772039666,800,9.047333012,800,8,7,10,29.81427257
213,800,8.135329562,800,12.31908109,800,1,6,3,28.86130951
204,800,8.727798601,800,12.15426029,800,1,7,-7,28.56594477
196,678.9738395,9.273190775,800,10.65170709,800,8,10,-3,28.32630984
189,602.0383185,8.496294154,800,11.73595103,800,4,2,-4,28.07511515
185,800,9.372074795,800,11.31538485,800,9,1,-9,28.67364792
183,800,9.154260623,800,12.82474926,800,2,8,2,27.93030372
176,800,9.086534292,800,11.76104007,800,1,0,-10,27.70324312
173,800,10.25995339,800,14.52920577,800,9,7,-10,28.2925186
169,800,11.82831477,800,16.22730265,800,10,5,-3,27.56956395
164,800,12.94780494,800,17.06542116,800,0,5,-5,27.35547405
159,800,14.49691588,800,19.97888103,800,10,4,0,27.19891318
157,800,16.46467683,800,22.68948827,800,4,8,-2,27.7454215
148,800,18.47698615,800,24.43311069,800,0,10,-10,18.93372097
323,1618.204839,29.12566248,21.90620159,37.34840636,28.03869816,5,6,6,18.16837482
323,1623.803776,28.77490248,22.26992322,35.76983501,27.92739642,5,3,-8,26.52163093
323,1583.951519,29.6924579,21.63212469,38.0418354,28.19081865,6,0,2,30.84566365
323,1539.589294,30.3349298,21.41576875,37.89951918,26.77700306,6,3,-8,31.57665858
323,1495.270962,30.76976038,20.5835881,38.6455784,25.97970173,5,1,-5,31.70882398
322,1411.429525,31.57811889,20.44409548,39.84393664,24.30783725,0,5,4,31.61053697
313,1007.574327,32.11443357,19.31158164,41.0535902,24.90247193,2,7,-6,32.87963588
